order_id,order_date,customer_id,category,product,quantity,unit_price,region,payment_method,total_price
ORD1642,2026-04-04,1232,Clothing,Running Shoes,5,2098429.0,Tehran,Cash,10492145.0
ORD1782,2026-06-19,1040,Electronics,Mobile Phone,3,17285181.0,,Online,51855543.0
ORD1821,2026-02-18,1254,Beauty,Sunscreen,3,414333.0,Tabriz,Online,1242999.0
ORD1568,2026-04-18,1076,BEAUTY,Sunscreen,2,479099.0,Tehran,Credit Card,958198.0
ORD1289,2026-03-23,1238,Books,Novel,1,253633.0,Tehran,Credit Card,253633.0
ORD1244,2026-06-27,1224,Clothing,Jeans,1,737978.0,Tabriz,Cash,737978.0
ORD1140,2026-01-14,1281,Books,Textbook,2,536995.0,Mashhad,Credit Card,1073990.0
ORD1597,2026-02-27,1169,Beauty,Skincare Cream,1,663299.0,Isfahan,Credit Card,663299.0
ORD1492,2026-01-31,1219,Beauty,Shampoo,3,212163.0,Tehran,Credit Card,636489.0
ORD1768,2026-02-03,1117,Home & Kitchen,Cookware Set,1,3119145.0,Tabriz,Online,3119145.0
ORD1209,2026-03-29,1159,clothing,Running Shoes,1,2080604.0,Mashhad,Credit Card,2080604.0
ORD1108,2026-06-02,1005,home & kitchen,Vacuum Cleaner,1,4304734.0,Isfahan,Online,4304734.0
ORD1792,2026-01-03,1153,Home & Kitchen,Vacuum Cleaner,2,4504239.0,Shiraz,Credit Card,9008478.0
ORD1720,2026-04-14,1009,Home & Kitchen,Sofa,2,12841613.0,Tabriz,Online,25683226.0
ORD1602,2026-02-16,1170,Sports,Yoga Mat,1,426744.0,Tehran,Credit Card,426744.0
ORD1464,2026-05-28,1248,Home & Kitchen,Vacuum Cleaner,1,4832764.0,Mashhad,Online,4832764.0
ORD1478,2026-06-05,1013,CLOTHING,Hat,2,268772.0,Isfahan,Online,537544.0
ORD1630,2026-04-08,1014,Books,Textbook,1,517067.0,Isfahan,Online,517067.0
ORD1556,2026-06-13,1242,Electronics,Laptop,1,23536060.0,Isfahan,Cash,23536060.0
ORD1097,2026-03-03,1058,Clothing,T-Shirt,2,345942.0,Mashhad,Credit Card,691884.0
ORD1777,2026-04-08,1237,Sports,Tennis Racket,4,1967564.0,Tabriz,Credit Card,7870256.0
ORD1098,2026-03-07,1058,Books,Cookbook,2,277220.0,Isfahan,Cash,554440.0
ORD1171,2026-05-19,1256,Clothing,Jeans,1,738123.0,Isfahan,Online,738123.0
ORD1727,2026-02-03,1000,Electronics,Laptop,2,26181069.0,Tabriz,Online,52362138.0
ORD1459,2026-06-23,1072,Beauty,Shampoo,3,206582.0,Shiraz,Credit Card,619746.0
ORD1493,2026-05-28,1233,Home & Kitchen,Lamp,1,,Tehran,Credit Card,
ORD1504,2026-06-12,1000,Electronics,Mobile Phone,2,18532025.0,,Credit Card,37064050.0
ORD1775,2026-06-23,1295,Sports,Football,1,,,Cash,
ORD1505,2026-03-20,1271,beauty,Lipstick,3,359487.0,Tehran,Cash,1078461.0
ORD1446,2026-01-03,1099,Books,Novel,4,269440.0,Shiraz,Cash,1077760.0
ORD1515,2026-03-05,1262,Clothing,Jacket,1,1386328.0,Isfahan,Credit Card,1386328.0
ORD1061,2026-04-16,1081,beauty,Shampoo,3,211951.0,Mashhad,Credit Card,635853.0
ORD1134,2026-02-14,1226,Beauty,Shampoo,2,235590.0,Shiraz,Online,471180.0
ORD1848,2026-01-24,1148,Sports,Bicycle,2,8502985.0,Mashhad,Credit Card,17005970.0
ORD1204,2026-05-23,1142,Clothing,T-Shirt,1,355960.0,Isfahan,Cash,355960.0
ORD1057,2026-05-30,1220,Books,Novel,3,237839.0,Tabriz,Cash,713517.0
ORD1781,2026-04-26,1094,Home & Kitchen,Lamp,2,906152.0,Shiraz,Cash,1812304.0
